symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,liquidation_price,entry_equity,pnl_return_pct,risk_pct,risk_mult,risk_reasons,pnl,btc_return_pct,eth_return_pct,eth_minus_btc_pct,btc_realized_vol_pct,rotation_regime,rotation_alignment,rotation_overlay_fold,rotation_overlay_multiplier,rotation_overlay_reason,overlay_pnl,overlay_pnl_return_pct
DOGE/USDT,2025-04-26 08:00:00+00:00,2025-04-26 12:00:00,long,0.19,0.19,15903.200833,2967.31,2.3738,4.451,0.1484,1,soft_sl,0.1873,0.18,,5155.14,0.281661,0.0315,0.787,adx:strong|daily:aligned|obv:aligned|vp:long_above_value|weekend|funding_window,14.52,0.44377141946283505,0.4616836099527122,0.017912190489877133,0.5643423491960449,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,14.52,0.281661
DOGE/USDT,2025-04-30 20:00:00+00:00,2025-05-01 00:00:00,short,0.17,0.17,26256.366612,4516.31,3.613,6.7745,-0.0754,1,soft_sl,0.1719,0.18,,5169.66,-0.065643,0.04525,1.131,adx:trend|daily:aligned|obv:aligned|vp:inside_value,-3.39,-0.2867921969638365,-1.1616259442707277,-0.8748337473068912,0.7685565028113364,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,-3.39,-0.065643
LINK/USDT,2025-05-05 16:00:00+00:00,2025-05-05 20:00:00,short,13.56,13.54,350.750703,4752.74,3.8022,7.1291,0.3417,1,soft_sl,13.5434,13.83,,5166.2665,-0.125871,0.03878,0.97,daily:aligned|obv:aligned|vp:inside_value|funding_window,-6.5,-3.643565700045548,-2.1774688758348204,1.4660968242107275,0.47428508615322595,risk_off_broad,with_rotation,2.0,1.0,rotation_overlay:keep,-6.5,-0.125871
DOGE/USDT,2025-05-06 16:00:00+00:00,2025-05-06 20:00:00,short,0.17,0.17,33607.29001,5583.21,4.4666,8.3748,0.2792,1,soft_sl,0.1657,0.17,,5159.7637,0.343639,0.045,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|vp:short_below_value|funding_window,17.73,-1.9152396202937516,-3.501480766398879,-1.5862411461051273,0.5494445416126135,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,17.73,0.343639
TRX/USDT,2025-05-08 20:00:00+00:00,2025-05-09 00:00:00,long,0.25,0.26,36945.177177,9458.62,7.5669,14.1879,0.4729,1,soft_sl,0.2575,0.25,,5177.4946,1.651106,0.04048,1.012,daily:aligned|obv:aligned|rsi:hot_long|vp:long_above_value,85.49,7.379673473283455,16.629857075978304,9.25018360269485,0.8146938976894278,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,85.49,1.651106
TRX/USDT,2025-05-12 20:00:00+00:00,2025-05-13 00:00:00,long,0.27,0.27,25450.665156,6971.43,5.5771,10.4571,0.6971,1,soft_sl,0.2749,0.27,,5262.9805,0.590495,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned|vp:long_above_value,31.08,-1.292058305985233,5.517679313851254,6.809737619836486,0.7018816159396282,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,31.08,0.590495
DOGE/USDT,2025-05-18 20:00:00+00:00,2025-05-19 00:00:00,long,0.22,0.23,7522.39214,1711.0,1.3688,2.5665,0.1469,1,soft_sl,0.2326,0.22,,5294.0582,1.390339,0.02327,0.582,daily:aligned|obv:against|vol:elevated|pattern:contra|vp:inside_value|weekend,73.61,0.7050927677073382,-4.861706795479426,-5.566799563186764,0.6379941398114631,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,73.61,1.390339
DOGE/USDT,2025-05-22 08:00:00+00:00,2025-05-22 12:00:00,long,0.24,0.24,14379.584366,3489.76,2.7918,5.2346,0.1745,1,soft_sl,0.2444,0.24,,5367.6635,0.746666,0.04223,1.056,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|vp:inside_value|funding_window,40.08,7.598166080238844,9.651035986913836,2.0528699066749923,0.923951766712907,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,40.08,0.746666
DOGE/USDT,2025-05-23 08:00:00+00:00,2025-05-23 12:00:00,long,0.24,0.25,14783.3801,3632.16,2.9057,5.4482,0.1816,1,soft_sl,0.248,0.24,,5407.742,1.106243,0.04223,1.056,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated|vp:inside_value|funding_window,59.82,5.434458530712005,4.8787136536030395,-0.5557448771089657,0.8567678364995418,mixed_neutral,neutral_rotation,2.0,1.0,rotation_overlay:keep,59.82,1.106243
LINK/USDT,2025-06-06 00:00:00+00:00,2025-06-06 04:00:00,short,12.88,12.82,246.362119,3165.46,2.5324,4.7482,0.5608,1,soft_sl,12.8216,13.17,,5467.5648,0.101704,0.03097,0.774,daily:aligned|obv:aligned|rsi:cold_short|vp:short_below_value|funding_window|daily_close,5.56,-4.116362344220015,-7.42687455879193,-3.310512214571915,0.7217895509752946,risk_off_broad,with_rotation,2.0,1.0,rotation_overlay:keep,5.56,0.101704
TRX/USDT,2025-06-10 20:00:00+00:00,2025-06-11 00:00:00,long,0.29,0.29,41339.198843,12055.3,9.6442,18.0829,1.2055,1,soft_sl,0.2924,0.29,,5473.1256,0.678357,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned|vp:long_above_value,37.13,3.562920198080888,10.219097059361303,6.656176861280415,0.7063769442138282,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,37.13,0.678357
LINK/USDT,2025-06-11 20:00:00+00:00,2025-06-12 00:00:00,long,15.14,15.23,373.991223,5678.49,4.5428,8.5177,0.2839,1,soft_sl,15.229,14.86,,5510.2529,0.37512,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned|vp:inside_value,20.67,2.29841890164586,11.07670065138473,8.77828174973887,0.7871128046387177,eth_alt_leads_up,with_rotation,2.0,1.0,rotation_overlay:keep,20.67,0.37512
