symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
BNB/USDT,2024-01-11 16:00:00,2024-01-11 20:00:00,long,307.52,309.25,4.166295,1284.83,1.0279,1.9272,0.0642,1,soft_sl,309.254,301.97,0.045,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|funding_window,4.21
SOL/USDT,2024-01-28 16:00:00,2024-01-28 20:00:00,long,97.05,97.79,8.573265,835.21,0.6682,1.2528,0.0418,1,soft_sl,97.7896,95.31,0.0315,0.787,market:trend|adx:trend|daily:aligned|obv:aligned|weekend|funding_window,4.37
SOL/USDT,2024-01-29 20:00:00,2024-01-30 00:00:00,long,100.54,101.81,11.793154,1193.18,0.9545,1.7898,0.1193,1,soft_sl,101.8108,99.07,0.04763,1.191,adx:trend|daily:aligned|obv:aligned,12.12
ETH/USDT,2024-01-31 00:00:00,2024-01-31 04:00:00,long,2341.96,2349.84,0.71657,1681.0,1.3448,2.5215,0.0841,1,soft_sl,2349.8395,2316.69,0.0347,0.868,daily:aligned|obv:aligned|funding_window|daily_close,1.7
BNB/USDT,2024-02-04 20:00:00,2024-02-05 00:00:00,long,305.42,307.44,7.495957,2297.0,1.8376,3.4455,0.0,1,soft_sl,307.443,304.54,0.03175,0.794,daily:aligned|obv:aligned|weekend,9.88
SOL/USDT,2024-02-08 04:00:00,2024-02-08 08:00:00,long,101.77,102.03,14.553998,1483.0,1.1864,2.2245,0.1483,1,soft_sl,102.0254,99.87,0.04536,1.134,daily:aligned|obv:aligned,0.2
SOL/USDT,2024-02-08 20:00:00,2024-02-09 00:00:00,long,102.28,103.2,15.089931,1550.35,1.2403,2.3255,0.1096,1,soft_sl,103.2014,100.91,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,10.23
ETH/USDT,2024-02-12 20:00:00,2024-02-13 00:00:00,long,2610.91,2659.22,0.777042,2047.55,1.638,3.0713,0.2048,1,soft_sl,2659.2155,2621.26,0.04241,1.06,adx:strong|daily:aligned|obv:aligned|rsi:hot_long,32.62
SOL/USDT,2024-02-14 16:00:00,2024-02-14 20:00:00,long,117.01,117.14,11.116208,1301.41,1.0411,1.9521,0.0651,1,soft_sl,117.1388,114.26,0.045,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|funding_window,-1.59
BNB/USDT,2024-02-14 16:00:00,2024-02-14 20:00:00,long,332.28,333.78,5.514128,1836.38,1.4691,2.7546,0.0918,1,soft_sl,333.7845,329.89,0.03015,1.125,market:trend|adx:trend|daily:aligned|obv:aligned|funding_window,3.98
ETH/USDT,2024-02-19 04:00:00,2024-02-19 08:00:00,long,2888.82,2927.22,0.748553,2176.81,1.7414,3.2652,0.2177,1,soft_sl,2927.223,2881.86,0.04763,1.191,adx:trend|daily:aligned|obv:aligned,23.52
ETH/USDT,2024-02-20 00:00:00,2024-02-20 04:00:00,long,2946.55,2956.54,0.548045,1617.58,1.2941,2.4264,0.0809,1,soft_sl,2956.5375,2909.34,0.03569,0.892,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long|funding_window|daily_close,1.67
BNB/USDT,2024-02-21 16:00:00,2024-02-21 20:00:00,long,369.47,371.67,4.508771,1670.82,1.3367,2.5062,0.0835,1,soft_sl,371.6715,364.77,0.04287,1.072,adx:trend|daily:aligned|obv:aligned|funding_window,6.0
