symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
ETH/USDT,2024-06-24 12:00:00,2024-06-24 16:00:00,short,3319.39,3269.06,0.462177,1522.52,1.218,2.2838,-0.1128,1,soft_sl,3269.0615,3324.31,0.02984,1.113,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:cold_short,19.87
ETH/USDT,2024-07-03 16:00:00,2024-07-03 20:00:00,short,3302.59,3258.75,0.840728,2758.15,2.2065,4.1372,0.1379,1,soft_sl,3258.747,3302.1,0.04082,1.021,daily:aligned|obv:aligned|funding_window,30.38
SOL/USDT,2024-07-04 08:00:00,2024-07-04 12:00:00,short,134.36,132.41,9.559202,1275.04,1.02,1.9126,0.0638,1,soft_sl,132.4075,136.44,0.04244,1.061,market:trend|adx:trend|daily:aligned|obv:aligned|vol:elevated|funding_window,15.67
ETH/USDT,2024-07-04 08:00:00,2024-07-04 12:00:00,short,3181.17,3131.73,0.458081,1445.91,1.1567,2.1689,0.0723,1,soft_sl,3131.7255,3187.49,0.02813,1.05,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:cold_short|funding_window,19.25
SOL/USDT,2024-07-16 20:00:00,2024-07-17 00:00:00,long,161.84,161.93,11.277292,1825.63,1.4605,2.7384,0.1826,1,soft_sl,161.931,158.1,0.04665,1.166,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:hot_long,-3.36
SOL/USDT,2024-07-19 20:00:00,2024-07-20 00:00:00,long,170.32,170.43,9.457432,1611.33,1.2891,2.417,0.0806,1,soft_sl,170.4318,166.29,0.04241,1.06,adx:strong|daily:aligned|obv:aligned|rsi:hot_long,-2.76
SOL/USDT,2024-07-29 08:00:00,2024-07-29 12:00:00,long,192.31,192.4,7.166471,1378.49,1.1028,2.0677,0.0689,1,soft_sl,192.3957,187.93,0.0347,0.868,daily:aligned|obv:aligned|rsi:hot_long|funding_window,-2.62
ETH/USDT,2024-08-01 20:00:00,2024-08-02 00:00:00,short,3130.29,3121.54,0.786784,2459.42,1.9675,3.6891,-0.1879,1,soft_sl,3121.5435,3180.08,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,1.41
ETH/USDT,2024-08-02 20:00:00,2024-08-03 00:00:00,short,3010.53,2972.06,0.596429,1784.09,1.4273,2.6761,-0.1515,1,soft_sl,2972.059,3040.89,0.04453,1.113,market:trend|adx:trend|daily:aligned|obv:aligned|rsi:cold_short,18.99
SOL/USDT,2024-08-04 20:00:00,2024-08-05 00:00:00,short,141.92,138.01,4.278247,598.81,0.479,0.8982,-0.0372,1,soft_sl,138.0101,144.28,0.02881,0.72,market:trend|adx:strong|daily:aligned|obv:aligned|vol:high|weekend,15.39
SOL/USDT,2024-08-05 08:00:00,2024-08-05 12:00:00,short,122.79,112.33,2.620174,308.03,0.2464,0.462,0.0154,1,soft_sl,112.3298,120.61,0.02309,0.577,market:trend|adx:strong|daily:aligned|obv:aligned|vol:extreme|rsi:cold_short|funding_window,26.68
ETH/USDT,2024-08-27 20:00:00,2024-08-28 00:00:00,short,2582.85,2417.23,1.017005,2542.55,2.034,3.8138,0.155,1,soft_sl,2417.2275,2459.71,0.04536,1.134,daily:aligned|obv:aligned,162.44
BNB/USDT,2024-08-28 04:00:00,2024-08-28 08:00:00,short,537.67,532.95,4.967614,2659.22,2.1274,3.9888,0.0,1,soft_sl,532.9525,543.36,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,17.32
SOL/USDT,2024-08-30 00:00:00,2024-08-30 04:00:00,short,139.95,138.55,10.110595,1407.88,1.1263,2.1118,0.0704,1,soft_sl,138.5472,142.49,0.03825,0.956,market:trend|adx:strong|daily:aligned|obv:aligned|funding_window|daily_close,10.85
SOL/USDT,2024-09-02 04:00:00,2024-09-02 08:00:00,short,130.13,127.26,14.450674,1859.78,1.4878,2.7897,0.093,1,soft_sl,127.2627,130.88,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,37.12
ETH/USDT,2024-09-02 04:00:00,2024-09-02 08:00:00,short,2449.15,2434.57,0.73018,1783.0,1.4264,2.6745,0.0891,1,soft_sl,2434.5725,2482.54,0.03343,1.247,adx:strong|daily:aligned|obv:aligned,6.45
BNB/USDT,2024-09-02 12:00:00,2024-09-02 16:00:00,short,519.07,516.39,5.299043,2743.48,2.1948,4.1152,0.0,1,soft_sl,516.3925,526.48,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned,7.88
ETH/USDT,2024-09-04 08:00:00,2024-09-04 12:00:00,short,2400.11,2387.98,0.897556,2148.79,1.719,3.2232,0.1074,1,soft_sl,2387.9805,2441.69,0.04491,1.123,adx:strong|daily:aligned|obv:aligned|funding_window,5.84
BNB/USDT,2024-09-04 16:00:00,2024-09-04 20:00:00,short,508.85,505.83,4.438756,2251.96,1.8016,3.3779,0.1126,1,soft_sl,505.8325,516.74,0.045,1.125,market:trend|adx:strong|daily:aligned|obv:aligned|funding_window,8.1
ETH/USDT,2024-09-06 20:00:00,2024-09-07 00:00:00,short,2221.5,2160.72,0.853551,1870.23,1.4962,2.8053,-0.0045,1,soft_sl,2160.725,2219.78,0.04665,1.166,market:trend|adx:strong|daily:aligned|obv:aligned|rsi:cold_short,47.58
BNB/USDT,2024-09-06 20:00:00,2024-09-07 00:00:00,short,482.17,472.68,3.483146,1662.93,1.3303,2.4944,0.0,1,soft_sl,472.6755,483.07,0.0335,1.25,market:trend|adx:strong|daily:aligned|obv:aligned,29.25
BNB/USDT,2024-09-13 20:00:00,2024-09-14 00:00:00,long,554.41,558.83,6.515437,3626.62,2.9013,5.4399,0.0,1,soft_sl,558.83,550.24,0.05,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,20.46
BNB/USDT,2024-09-15 20:00:00,2024-09-16 00:00:00,long,556.72,560.14,5.952397,3323.99,2.6592,4.986,0.0,1,soft_sl,560.137,553.81,0.03334,0.833,adx:trend|daily:aligned|obv:aligned|weekend,12.69
BNB/USDT,2024-09-19 20:00:00,2024-09-20 00:00:00,long,565.72,567.17,6.186271,3504.19,2.8034,5.2563,-0.259,1,soft_sl,567.1735,558.85,0.04536,1.134,daily:aligned|obv:aligned,1.19
BNB/USDT,2024-09-21 12:00:00,2024-09-21 16:00:00,long,580.51,585.07,4.669802,2721.52,2.1772,4.0823,0.0,1,soft_sl,585.0745,576.56,0.035,0.875,market:trend|adx:trend|daily:aligned|obv:aligned|weekend,15.06
